State,Year,Quarter,District,Transaction_Count,Transaction_Amount
arunachal-pradesh,2022,4,tawang district,155419,518332824.89263654
arunachal-pradesh,2022,4,namsai district,188919,307955075.5201911
arunachal-pradesh,2023,1,lower dibang valley district,256396,537713700.0
arunachal-pradesh,2023,1,lower subansiri district,257899,585614438.0
arunachal-pradesh,2023,1,longding district,107606,261124844.0
arunachal-pradesh,2023,1,west siang district,320064,764188915.0
arunachal-pradesh,2023,1,kamle district,40383,92585537.0
arunachal-pradesh,2023,1,upper siang district,103335,268653642.0
arunachal-pradesh,2023,1,tirap district,157071,368592354.0
arunachal-pradesh,2023,1,papum pare district,3302746,5900429571.0
arunachal-pradesh,2023,1,kurung kumey district,29127,97772110.0
arunachal-pradesh,2023,1,anjaw district,47386,125631329.0
arunachal-pradesh,2023,1,siang district,80741,201397801.0
arunachal-pradesh,2023,1,lower siang district,95379,206156352.0
arunachal-pradesh,2023,1,kra daadi district,39986,133651279.0
arunachal-pradesh,2023,1,changlang district,494506,1101499481.0
arunachal-pradesh,2023,1,pakke kessang district,29274,53298027.0
arunachal-pradesh,2023,1,dibang valley district,6327,28921318.0
arunachal-pradesh,2023,1,west kameng district,662521,1414404520.0
arunachal-pradesh,2023,1,shi yomi district,6633,38151814.0
arunachal-pradesh,2023,1,east siang district,535198,990989057.0
arunachal-pradesh,2023,1,upper subansiri district,179629,533663642.0
arunachal-pradesh,2023,1,east kameng district,150931,375398867.0
arunachal-pradesh,2023,1,lohit district,483285,870836418.0
arunachal-pradesh,2023,1,lepa rada district,91748,200811427.0
arunachal-pradesh,2023,1,tawang district,239151,724541898.0
arunachal-pradesh,2023,1,namsai district,325503,518550113.0
arunachal-pradesh,2023,2,lower dibang valley district,320847,641502543.0
arunachal-pradesh,2023,2,lower subansiri district,341107,689315626.0
arunachal-pradesh,2023,2,longding district,130522,285288333.0
arunachal-pradesh,2023,2,west siang district,450143,970914462.0
arunachal-pradesh,2023,2,kamle district,55865,106363865.0
arunachal-pradesh,2023,2,upper siang district,128805,301652672.0
arunachal-pradesh,2023,2,tirap district,200783,446804515.0
arunachal-pradesh,2023,2,papum pare district,4245307,7148674913.0
arunachal-pradesh,2023,2,kurung kumey district,31722,97669815.0
arunachal-pradesh,2023,2,anjaw district,56827,151922212.0
