State,Year,Quarter,District,RegisteredUser
arunachal-pradesh,2023,3,kurung kumey district,2274
arunachal-pradesh,2023,3,siang district,5142
arunachal-pradesh,2023,3,kra daadi district,2238
arunachal-pradesh,2023,3,changlang district,35843
arunachal-pradesh,2023,3,pakke kessang district,1163
arunachal-pradesh,2023,3,east siang district,34293
arunachal-pradesh,2023,3,upper subansiri district,11597
arunachal-pradesh,2023,3,tawang district,20501
arunachal-pradesh,2023,3,namsai district,18704
arunachal-pradesh,2023,4,lower subansiri district,15092
arunachal-pradesh,2023,4,tirap district,13826
arunachal-pradesh,2023,4,papum pare district,153071
arunachal-pradesh,2023,4,anjaw district,4870
arunachal-pradesh,2023,4,lower siang district,6783
arunachal-pradesh,2023,4,dibang valley district,905
arunachal-pradesh,2023,4,west kameng district,37896
arunachal-pradesh,2023,4,shi yomi district,713
arunachal-pradesh,2023,4,east kameng district,7468
arunachal-pradesh,2023,4,lohit district,26708
arunachal-pradesh,2023,4,lepa rada district,5612
arunachal-pradesh,2023,4,lower dibang valley district,15725
arunachal-pradesh,2023,4,longding district,7907
arunachal-pradesh,2023,4,west siang district,19949
arunachal-pradesh,2023,4,kamle district,1569
arunachal-pradesh,2023,4,upper siang district,6986
arunachal-pradesh,2023,4,kurung kumey district,2369
arunachal-pradesh,2023,4,siang district,5365
arunachal-pradesh,2023,4,kra daadi district,2335
arunachal-pradesh,2023,4,changlang district,37357
arunachal-pradesh,2023,4,pakke kessang district,1204
arunachal-pradesh,2023,4,east siang district,35633
arunachal-pradesh,2023,4,upper subansiri district,12074
arunachal-pradesh,2023,4,tawang district,21219
arunachal-pradesh,2023,4,namsai district,19452
assam,2021,1,tinsukia district,134067
assam,2021,1,lakhimpur district,89104
assam,2021,1,kamrup district,147671
assam,2021,1,kokrajhar district,60046
assam,2021,1,karbi anglong district,58026
assam,2021,1,sivasagar district,76308
assam,2021,1,dibrugarh district,158509
assam,2021,1,south salmara mancachar district,28055
assam,2021,1,nagaon district,200243
assam,2021,1,dhubri district,101643
assam,2021,1,golaghat district,98520
assam,2021,1,udalguri district,57387
assam,2021,1,majuli district,13653
assam,2021,1,sonitpur district,158555
assam,2021,1,hojai district,64551
assam,2021,1,marigaon district,87679
assam,2021,1,chirang district,35753
assam,2021,1,cachar district,172056
assam,2021,1,nalbari district,68299
assam,2021,1,west karbi anglong district,12746
assam,2021,1,dhemaji district,68744
assam,2021,1,karimganj district,89969
assam,2021,1,bongaigaon district,80711
assam,2021,1,dima hasao district,24303
assam,2021,1,baksa district,74652
assam,2021,1,charaideo district,40563
assam,2021,1,darrang district,71026
assam,2021,1,kamrup metropolitan district,589688
assam,2021,1,hailakandi district,57052
assam,2021,1,barpeta district,177789
assam,2021,1,goalpara district,91082
assam,2021,1,biswanath district,53382
assam,2021,1,jorhat district,116616
assam,2021,2,tinsukia district,144571
assam,2021,2,lakhimpur district,96165
assam,2021,2,kamrup district,159018
assam,2021,2,kokrajhar district,65062
assam,2021,2,karbi anglong district,62752
assam,2021,2,sivasagar district,82266
assam,2021,2,dibrugarh district,170604
assam,2021,2,south salmara mancachar district,30377
assam,2021,2,nagaon district,215750
assam,2021,2,dhubri district,109873
assam,2021,2,golaghat district,106454
assam,2021,2,udalguri district,62273
assam,2021,2,majuli district,14758
assam,2021,2,sonitpur district,170519
assam,2021,2,hojai district,69441
assam,2021,2,marigaon district,94605
assam,2021,2,chirang district,38690
assam,2021,2,cachar district,185350
assam,2021,2,nalbari district,73631
assam,2021,2,west karbi anglong district,13811
assam,2021,2,dhemaji district,74111
assam,2021,2,karimganj district,97106
assam,2021,2,bongaigaon district,86972
assam,2021,2,dima hasao district,26183
assam,2021,2,baksa district,80839
assam,2021,2,charaideo district,43764
assam,2021,2,darrang district,76790
assam,2021,2,kamrup metropolitan district,630676
assam,2021,2,hailakandi district,61575
assam,2021,2,barpeta district,191700
assam,2021,2,goalpara district,98459
assam,2021,2,biswanath district,57664
assam,2021,2,jorhat district,125247
assam,2021,3,tinsukia district,156657
assam,2021,3,lakhimpur district,104585
assam,2021,3,kamrup district,172652
assam,2021,3,kokrajhar district,71086
assam,2021,3,karbi anglong district,68242
assam,2021,3,sivasagar district,89129
assam,2021,3,dibrugarh district,184280
assam,2021,3,south salmara mancachar district,33080
assam,2021,3,nagaon district,233909
assam,2021,3,dhubri district,119554
assam,2021,3,golaghat district,115666
assam,2021,3,udalguri district,68048
assam,2021,3,majuli district,16073
assam,2021,3,sonitpur district,184448
assam,2021,3,hojai district,75318
assam,2021,3,marigaon district,102617
assam,2021,3,chirang district,42198
assam,2021,3,cachar district,200721
assam,2021,3,nalbari district,79951
assam,2021,3,west karbi anglong district,15112
assam,2021,3,dhemaji district,80553
assam,2021,3,karimganj district,105371
assam,2021,3,bongaigaon district,94320
assam,2021,3,dima hasao district,28350
assam,2021,3,baksa district,88112
assam,2021,3,charaideo district,47576
assam,2021,3,darrang district,83547
assam,2021,3,kamrup metropolitan district,677223
assam,2021,3,hailakandi district,66975
assam,2021,3,barpeta district,207997
assam,2021,3,goalpara district,107173
assam,2021,3,biswanath district,62778
assam,2021,3,jorhat district,135179
assam,2021,4,tinsukia district,168240
assam,2021,4,lakhimpur district,112578
assam,2021,4,kamrup district,185421
assam,2021,4,kokrajhar district,76692
